ID;X;Y;CATEGORY;NAME;WWW
1057;1565503;6861207;COM;Vodafone Shop Fürstenwalde im EKZ Kaufland, Ralf Eichler;
1058;1514509;6860336;COM;Foto Wollermann;
1059;1584371;6823668;COM;EP:Baumann;http://www.epbaumann.de
1060;1543681;6781092;COM;EP: Albrecht;
1061;1536816;6944612;COM;MEDIMAX Electronic Objekt Eberswalde GmbH;
1062;1536557;6944469;COM;Vodafone Shop Eberswalde am Kreishaus, Grill & Frank GbR / BusinessPremium-Store;
1063;1560133;6935920;COM;EP:Kuhnert & Friedel;http://www.ep-kuhnert-und-friedel.de
1064;1561082;6937444;COM;Vodafone Shop Bad Freienwalde Schenderlein KommunikationGmbH /Partneragentur;
1065;1586797;6987482;COM;Vodafone Shop Schwedt 3xS Ihr Büropartner Hand.-u.S. / Partneragentur;
1066;1587022;6987275;COM;mobilcom-debitel Shop Schwedt (Oder);
1067;1511943;6892092;COM;Berlin-Eiche (im Kaufpark Eiche);http://www.mediamarkt.de/mcs/marketinfo/Media-Markt-Berlin-Eiche-%28im-Kaufpark-Eiche%29,68360,-3.html
1068;1473963;6929697;COM;Jörg Gründel Phone Union;
1069;1421851;6959887;COM;Telekom Shop Neuruppin;http://www.telekomshop.de
1070;1388339;7005675;COM;Vodafone Shop Wittstock Bernd-Dieter Hahn /Partneragentur;
1071;1474384;7078910;COM;Neubrandenburg;http://www.mediamarkt.de/mcs/marketinfo/Media-Markt-Neubrandenburg,66875,-3.html
1072;1446402;7144459;COM;Vodafone Shop Demmin Dirk Brieskorn /Partneragentur;
1073;1453072;7041957;COM;mobilcom-debitel Shop Neustrelitz;
1074;1546547;7025192;COM;PHOTO PORST Prenzlau;http://www.porst-prenzlau.de
1075;1556521;7068788;COM;Vodafone Shop Pasewalk DREWES Electronic?s GmbH /Business-Store;
1076;1553935;7062879;COM;Krüger Electronic Waldemar F. E. Krüger;
1077;1487508;7180302;COM;Fotostudio Wasmund;http://www.fotostudio-wasmund.de
1078;1337910;7182084;COM;Vodafone Shop Ostsee-Park-Str. COM-FOUR Kommunikations GmbH /Partneragentur;
1079;1340897;7188596;COM;mobilcom-debitel Shop Rostock;
1080;1307592;7189524;COM;SP: Jahnke & Bruhn TV-Video HiFi;
1081;1378598;7228047;COM;Foto-Hübner;
1082;1454335;7220862;COM;Vodafone Shop Stralsund am Bf Jessel, Carsten / Business Premium-Store;
1083;1455548;7221592;COM;Telekom Shop Stralsund;http://www.telekomshop.de
1084;1455522;7221468;COM;BASE Shop Stralsund;
1085;1492787;7241888;COM;TEL TEC Rügen UG (Haftungsbeschränkt);
1086;1268844;7092188;COM;BASE Quality Partner Schwerin;
1087;1268844;7092188;COM;BASE Shop Schwerin;
1088;1295492;7082436;COM;Euronics;
1089;1278156;7035014;COM;Vodafone Shop Ludwigslust B5 Silvio Brüning /Partneragentur;
1090;1110010;7083904;COM;BASE Shop Hamburg;
1091;1098853;7036646;COM;EP:Bellmann;http://www.ep-bellmann.de
1092;1130373;7016748;COM;Euronics;
1093;1133259;7042624;COM;expert Bloedorn;
1094;1078679;7063755;COM;BASE Shop Buxtehude;
1095;1053735;7088637;COM;Euronics;
1096;1053771;7088667;COM;Bening GmbH & Co.KG;
1097;1119428;7081618;COM;Telekom Shop Hamburg-Wandsbek;http://www.telekomshop.de
1098;1126965;7081421;COM;BASE Shop Hamburg;
1099;1123608;7075570;COM;Hamburg-Billstedt;http://www.mediamarkt.de/mcs/marketinfo/Media-Markt-Hamburg-Billstedt,77352,-3.html
1100;1120686;7090167;COM;INNOVA24.DE Shop;
1101;1106612;7090709;COM;BASE Shop Hamburg;
1102;1091037;7079708;COM;Euronics;
1103;1110254;7102622;COM;O 2 Partner-Shop;
1104;1093959;7087275;COM;MEDIMAX Electronic Objekt Schenefeld GmbH;
1105;1138493;7100208;COM;o2 Premium Partner Ahrensburg1 Bernd Jürgens;
